# k(1/Å)   S(k)   (FINAL_STRUCTURE)
2.883400700421110407e-01 3.107595617821278314e-02
4.306857410145974452e-01 3.768421131021035264e-02
5.766801400842220815e-01 1.998379353414608817e-02
6.652606795013187302e-01 2.210882336910859752e-02
8.485297651703298527e-01 1.224522420535599336e-02
9.266461828018616176e-01 5.684353608520229494e-03
1.054600558772611718e+00 1.315644170904893724e-02
1.194429433431378085e+00 1.620878755468448812e-02
1.295703521881105935e+00 1.790140531658261647e-02
1.418021589469768751e+00 1.712528271882391914e-02
1.521911257241376214e+00 2.572667970701335641e-02
1.664627362593401383e+00 7.197776426861300647e-02
1.745768622533113934e+00 4.406008837170980602e-02
1.877088417105051699e+00 6.309605293538848858e-02
2.015480350123291409e+00 7.542485617996381286e+00
2.104594335520310278e+00 8.572449532937860550e-02
2.231976711474944253e+00 8.214797401013745892e-02
2.352554218973612610e+00 8.653011508732133539e-02
2.469275807155256963e+00 8.435732264510970024e-02
2.582151785881030559e+00 9.213369979414337552e-02
2.701800434003006846e+00 1.077109900657285402e-01
2.831505423679839151e+00 2.087233512565045968e-01
2.930696049903003697e+00 2.116356394876055813e-01
3.054223590389271159e+00 5.398308907093425368e-01
3.168871055908549561e+00 2.993582557957848445e-01
3.292667217652403000e+00 1.699604843291456646e+01
3.399358075085834319e+00 3.032550435902623964e-01
3.522407421704789598e+00 4.042028402955506472e-01
3.654410811097995815e+00 1.981929593973760229e-01
3.746933034756618763e+00 1.205201636621061334e-01
3.884124435309415091e+00 1.115197440688812103e-01
3.994084459092564376e+00 8.153599674387031204e-02
4.106179375249267238e+00 1.100686611584207469e-01
4.222916033813782555e+00 1.121341740732847564e-01
4.351885941542770198e+00 1.081238698195728376e-01
4.486288536275360173e+00 1.193592897151188187e-01
4.549929560111945825e+00 6.835345564524016038e-02
4.676081683970763514e+00 1.542839958659989463e-01
4.833460341589755238e+00 1.922474913603521018e-01
