LAMMPS data file via write_data, version 29 Aug 2024, timestep = 320, units = metal

517 atoms
1 atom types

-0.02948090264859365 21.804290902648614 xlo xhi
-0.03406467868667825 21.80887467868668 ylo yhi
-0.0192347341643344 21.79404473416429 zlo zhi

Masses

1 28.0855

Atoms # atomic

1 1 21.800987463117476 -0.022405961996238524 21.793455282425292 -1 0 -1
2 1 -0.025010062410845326 2.700059437509547 2.7104335092587957 0 0 0
3 1 2.6824630305919315 -0.02069676660198498 2.711647935807292 0 0 0
4 1 2.6930021465159606 2.6992352449671118 21.793112065095524 0 0 -1
5 1 1.3300191473642227 1.3391848876839851 1.342736457961326 0 0 0
9 1 5.407002648679706 -0.02973674685517503 21.782943459982025 0 0 -1
10 1 5.402891214579511 2.6880474805569268 2.7075174723141924 0 0 0
11 1 8.102961748649895 21.79340665569487 2.693171524841348 0 -1 0
12 1 8.112878802648963 2.6948120793948482 21.780133468220644 0 0 -1
13 1 6.76385952444587 1.3305939805151077 1.338841598942889 0 0 0
17 1 10.763062401493217 21.718083558998913 21.559163463098656 0 -1 -1
18 1 10.73695607699376 2.891596285716751 2.7556125478031697 0 0 0
21 1 11.778890773285156 1.8210342936616277 0.8136929857310902 0 0 0
19 1 13.98738566939395 21.204376519012953 3.223431664773772 0 -1 0
20 1 13.756940691794242 2.776425027474808 21.639219648292457 0 0 -1
517 1 13.71813126280587 1.7646160136669815 2.684787087206409 0 0 0
25 1 16.380243044083368 21.798726049179738 21.776403987024015 0 -1 -1
26 1 16.595302778940912 2.7875205196715576 2.6670620895951975 0 0 0
29 1 17.792615938395162 1.2999503906440844 1.310310364583537 0 0 0
27 1 19.109886881349492 21.79287084238506 2.7102162139825143 0 -1 0
28 1 19.117184742109917 2.695611237335136 21.774795018221486 0 0 -1
33 1 -0.021007265325853 5.42727155823617 21.792012632028072 0 0 -1
35 1 2.6933276414223437 5.426044251866936 2.709465109013388 0 0 0
8 1 4.049164605196489 4.059898269932271 1.347292273761223 0 0 0
41 1 5.399968507131416 5.425506985278471 -0.016154325906950626 0 0 0
43 1 8.04819523784125 5.402041918067353 2.726076718136081 0 0 0
16 1 9.422694071012135 4.118464364609397 1.3110638194473818 0 0 0
49 1 10.847298675249554 5.390559708140498 21.736449623460814 0 0 -1
24 1 15.094071339946842 4.066221872793701 1.3331866205003617 0 0 0
51 1 13.729323805920775 5.360513176451265 2.7333706175345274 0 0 0
57 1 16.42874830003573 5.4381297207591075 21.77797759145927 0 0 -1
32 1 20.456681685866965 4.065782020216404 1.3424555755692187 0 0 0
59 1 19.12590912168852 5.457034049384419 2.709149274243798 0 0 0
34 1 -0.01747683996704142 8.164551649713482 2.7088608920150756 0 0 0
36 1 2.6848705792960743 8.149842230772476 21.793873745942747 0 0 -1
37 1 1.3324953205846086 6.789498833997981 1.3474936543208724 0 0 0
42 1 5.401978393664553 8.155520025691587 2.718463076592681 0 0 0
44 1 8.059957520987881 8.144590770691343 21.739384568928074 0 0 -1
45 1 6.742181930085986 6.793856468915904 1.3466217551190784 0 0 0
50 1 10.129990242809116 7.831826541205911 2.3927255513349936 0 0 0
53 1 12.51131590198 6.565532002891596 1.1537082042696074 0 0 0
516 1 12.256505649616415 8.683500206921286 2.4507938108169536 0 0 0
52 1 13.75209098026287 8.160173890289585 21.68680356252815 0 0 -1
58 1 16.376035894709638 8.169624564055798 2.7049203339984884 0 0 0
61 1 17.7489360840235 6.805466209913249 1.351446214928324 0 0 0
60 1 19.10169995297673 8.161014641810826 -0.017057534922209325 0 0 0
65 1 21.796390531636447 10.87763649895497 21.790204630201487 -1 0 -1
67 1 2.695171732802871 10.887280578791794 2.7059769785986862 0 0 0
69 1 1.3113618756590852 12.23282142480399 1.3458720730750404 0 0 0
40 1 4.041523831480299 9.507305686775855 1.3445297640393055 0 0 0
73 1 5.3934945191812 10.84771109870083 21.772939797150826 0 0 -1
75 1 8.11233722613433 10.872746434764936 2.806816729372854 0 0 0
77 1 6.753875827722947 12.100777179184755 1.3983775123356168 0 0 0
48 1 9.315627866036321 9.658815119594415 1.2239534193808537 0 0 0
81 1 10.942232209855472 10.858207874682737 21.78817664320261 0 0 -1
85 1 12.283570408893292 12.290818617252674 1.325077483410574 0 0 0
56 1 15.058853910250784 9.551922845350683 1.3029493450210319 0 0 0
83 1 13.808355662339208 11.081318857346586 2.6442856033362263 0 0 0
89 1 16.408818268556743 10.928000938576277 21.75663336960942 0 0 -1
93 1 17.742057217694672 12.270714390759412 1.3447527662767322 0 0 0
64 1 20.447306618718905 9.523202479728841 1.3515667642169806 0 0 0
91 1 19.08374841913967 10.889861607848912 2.7087354512410906 0 0 0
66 1 21.799640097288563 13.608818035106374 2.712651728573138 -1 0 0
68 1 2.63214114740445 13.592927178227487 21.768957309974006 0 0 -1
72 1 3.8224900773118056 14.963495076234679 1.4315104086378334 0 0 0
74 1 5.415136218708084 13.639105922197803 2.6947161081267326 0 0 0
76 1 8.50901879467511 13.276232511990884 0.17837225541280663 0 0 0
514 1 6.7526205229649 15.068516328735644 0.5530028510707857 0 0 0
80 1 9.692052044552826 14.981606762396984 1.4256838843925217 0 0 0
82 1 10.973851469927922 13.587506955216801 2.7902287730267505 0 0 0
84 1 13.637968987292751 13.644129530482937 21.773766031234164 0 0 -1
88 1 15.007301711774732 14.980824922847301 1.3386075166470839 0 0 0
90 1 16.400495725465237 13.654166746182115 2.7031539752565843 0 0 0
92 1 19.091709073222294 13.625140443425254 21.787442448680203 0 0 -1
96 1 20.454931784593835 14.977152764855145 1.3407737929898054 0 0 0
